pokemon\Tomato___Target_Spot\0a458dfc-b513-44f2-a3ce-dab4c3adb939___Com.G_TgS_FL 8166.JPG,6
pokemon\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f6ff635e-d975-4fac-b88e-e831bd14b8d0___YLCV_GCREC 2488.JPG,7
pokemon\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f8bff9a6-4e6f-43e3-9584-3783fd5571bb___UF.GRC_YLCV_Lab 02944.JPG,7
pokemon\Tomato___Septoria_leaf_spot\fcda5137-4f0a-4734-89a5-13d5bd119942___Matt.S_CG 7550.JPG,4
pokemon\Tomato___Late_blight\f5e90a98-8ea6-4547-a417-8370d08a1e1f___RS_Late.B 5196.JPG,2
pokemon\Tomato___healthy\fde29807-8223-4fc5-a06b-7cc93101a6d1___GH_HL Leaf 174.JPG,8
pokemon\Tomato___Spider_mites Two-spotted_spider_mite\f41b78aa-281c-416f-9d9b-4a5a3d9f20fc___Com.G_SpM_FL 9012.JPG,5
pokemon\Tomato___healthy\ec1137c0-ec94-4d00-aabd-97bb603f94c4___GH_HL Leaf 407.JPG,8
pokemon\Tomato___Spider_mites Two-spotted_spider_mite\f8a3d768-d2e6-43f6-bf3d-6d32d8ba9412___Com.G_SpM_FL 9536.JPG,5
pokemon\Tomato___Late_blight\f0f8cbf1-f7d3-47e1-8a7c-87df9b65beb2___GHLB2 Leaf 125.1.JPG,2
pokemon\Tomato___Target_Spot\f845fbab-129e-489a-b5b4-ba7a14679972___Com.G_TgS_FL 1130.JPG,6
pokemon\Tomato___Late_blight\00ce4c63-9913-4b16-898c-29f99acf0dc3___RS_Late.B 4982.JPG,2
pokemon\Tomato___Septoria_leaf_spot\e13e5c45-eab7-4a23-a2bc-3f89fbc7cda6___Matt.S_CG 6879.JPG,4
pokemon\Tomato___Septoria_leaf_spot\eaf8a135-3d77-422c-8f37-befb5cfcb8a0___Matt.S_CG 1728.JPG,4
pokemon\Tomato___Septoria_leaf_spot\f99f3ec6-6c53-44bc-8a0b-70ff449c4fb5___JR_Sept.L.S 8549.JPG,4
pokemon\Tomato___Bacterial_spot\f69eb99b-2cf8-4fb1-abea-b1bad4d9dad8___GCREC_Bact.Sp 6151.JPG,0
pokemon\Tomato___Late_blight\47a9ad56-28b2-4aaa-915e-55d04bef03b7___RS_Late.B 5425.JPG,2
pokemon\Tomato___Late_blight\f15b868b-23ae-4e87-8053-6199c363e079___GHLB2 Leaf 8984.JPG,2
pokemon\Tomato___Bacterial_spot\f790b5c0-15b7-4adc-916f-fd4add9a72dd___GCREC_Bact.Sp 3128.JPG,0
pokemon\Tomato___Target_Spot\f22b524e-5e3d-4515-ae40-0683eb629cf5___Com.G_TgS_FL 0670.JPG,6
pokemon\Tomato___Leaf_Mold\fee0f163-ef11-48ce-9eff-5546b8ddae91___Crnl_L.Mold 6861.JPG,3
pokemon\Tomato___healthy\f6884753-9a44-4f1c-a99b-ef40faa2df5a___RS_HL 0492.JPG,8
pokemon\Tomato___Late_blight\f0ac2b25-fb74-43f7-9ca6-52bb05dd2ec2___RS_Late.B 6545.JPG,2
pokemon\Tomato___Spider_mites Two-spotted_spider_mite\ecf28797-b8ea-4ea9-a665-72db94f13ba8___Com.G_SpM_FL 1678.JPG,5
pokemon\Tomato___Leaf_Mold\e52d4992-f924-4b08-afea-8bbdb4766089___Crnl_L.Mold 9010.JPG,3
pokemon\Tomato___Septoria_leaf_spot\fe18d20c-3e3c-4fbf-9a11-c38228c6eb8e___JR_Sept.L.S 2623.JPG,4
pokemon\Tomato___healthy\f81def4f-22a7-4036-bfab-51b245f4a2ab___RS_HL 0055.JPG,8
pokemon\Tomato___Bacterial_spot\fd3e89ea-d6f8-4544-8aa5-ec27578a0a7b___GCREC_Bact.Sp 3788.JPG,0
pokemon\Tomato___Early_blight\e0f7927f-2310-4db1-92cf-cb89a3e14678___RS_Erly.B 7848.JPG,1
pokemon\Tomato___Late_blight\fc0cec90-4a1e-4cdc-95cf-a34abc1dc8c9___GHLB2 Leaf 117.2.JPG,2
pokemon\Tomato___Early_blight\ad302c48-1f27-43d8-b004-4ca61dfa61c1___RS_Erly.B 7566.JPG,1
pokemon\Tomato___Early_blight\dc4e5770-ed70-4ff3-b61d-a6296faae7e1___RS_Erly.B 7568.JPG,1
pokemon\Tomato___Septoria_leaf_spot\f7a66452-2777-44fa-b28a-041e7d7b4bd6___JR_Sept.L.S 8454.JPG,4
pokemon\Tomato___healthy\fae1be6a-cac5-481b-96ab-4a4abae39af5___RS_HL 0227.JPG,8
pokemon\Tomato___Target_Spot\f517602e-150c-45bc-9f16-cdd43b6198cf___Com.G_TgS_FL 0742.JPG,6
pokemon\Tomato___Late_blight\46e4103f-f240-48cc-ae17-9466fcbec332___RS_Late.B 6650.JPG,2
pokemon\Tomato___Spider_mites Two-spotted_spider_mite\e813ff58-97d7-4261-a796-e17ab814bc88___Com.G_SpM_FL 9460.JPG,5
pokemon\Tomato___Target_Spot\f68ed4ee-2952-442a-bdcf-ea614e9b0058___Com.G_TgS_FL 8338.JPG,6
pokemon\Tomato___Spider_mites Two-spotted_spider_mite\edfb0fe5-a10c-469d-9346-802e68dfcd58___Com.G_SpM_FL 9390.JPG,5
pokemon\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f0f8b2e7-4722-47d6-8618-b8cf974a378d___UF.GRC_YLCV_Lab 03389.JPG,7
pokemon\Tomato___Leaf_Mold\fcfc6758-32cd-4e18-8d56-e3ffde988921___Crnl_L.Mold 6591.JPG,3
pokemon\Tomato___Early_blight\ff83852f-65e0-4981-8c66-6b86d34b32c2___RS_Erly.B 9582.JPG,1
pokemon\Tomato___Leaf_Mold\e98c3ab2-eb39-48a5-8beb-d11995a55015___Crnl_L.Mold 9185.JPG,3
pokemon\Tomato___healthy\f54a5053-dca2-4460-bd8d-27be3eb1e9b4___GH_HL Leaf 495.1.JPG,8
pokemon\Tomato___Bacterial_spot\fd98f535-7c9d-497c-8d77-3f12d0dc85bb___GCREC_Bact.Sp 3243.JPG,0
pokemon\Tomato___Late_blight\f8e2f06c-ffc4-426b-a7ad-300f6472fdcc___RS_Late.B 5238.JPG,2
pokemon\Tomato___Septoria_leaf_spot\f32b0e3d-b9dc-413b-bee5-3d63fcea4cf5___Matt.S_CG 1430.JPG,4
pokemon\Tomato___Leaf_Mold\dc533794-bc05-4564-b110-dea895234a02___Crnl_L.Mold 9068.JPG,3
pokemon\Tomato___Leaf_Mold\e33b960c-9d75-4de7-a310-ac39e5f326a4___Crnl_L.Mold 6689.JPG,3
pokemon\Tomato___healthy\ef23fd72-1367-41c5-820f-c89533ad258e___GH_HL Leaf 303.1.JPG,8
pokemon\Tomato___Spider_mites Two-spotted_spider_mite\ed4959f6-0ad7-4e9e-a1df-09d1160780d1___Com.G_SpM_FL 8797.JPG,5
pokemon\Tomato___Septoria_leaf_spot\f4c72190-f1cf-4421-9cb1-bc69b5b621dd___JR_Sept.L.S 2509.JPG,4
pokemon\Tomato___Septoria_leaf_spot\0a68a294-30d1-4422-ab7e-a1909ec277f7___JR_Sept.L.S 8443.JPG,4
pokemon\Tomato___Target_Spot\db1f9298-54fe-4120-bb4b-84180b1bd01f___Com.G_TgS_FL 0910.JPG,6
pokemon\Tomato___Spider_mites Two-spotted_spider_mite\f5f292d9-5970-4db1-9089-878cec8ad285___Com.G_SpM_FL 1156.JPG,5
pokemon\Tomato___Bacterial_spot\fb09d588-5a64-4659-8240-17b978ca9e51___GCREC_Bact.Sp 3557.JPG,0
pokemon\Tomato___Spider_mites Two-spotted_spider_mite\ed4d4d88-f802-4e7f-80a7-2b97cd714600___Com.G_SpM_FL 1597.JPG,5
pokemon\Tomato___Leaf_Mold\e8e4c7fa-6c75-470a-888a-0763cade48bc___Crnl_L.Mold 7099.JPG,3
pokemon\Tomato___Leaf_Mold\f0c85df0-2aaf-48c6-a90b-05b78a59bcc5___Crnl_L.Mold 6624.JPG,3
